source,num,title
"Chinese Journal of Environmental Engineering,环境工程学报",,"Electricity generation, oxygenic compound degradation and microbiologic characteristics of microbial fuel cell using excess sludge,剩余污泥微生物燃料,的产电性能及有机物降解与阳极生物分析"
"Chinese Journal of Rare Metals,稀有金属",,"Impact of Dispersion on Morphology and Particle Size of Micron Grade Silver Powder,分散体系对微米银粉微观形貌及粒径影响研究"
"Chinese Journal of Environmental Engineering,环境工程学报",,"Microbial fuel cell remediation for saline-alkaline soil contaminated by petroleum hydrocarbons,微生物燃料,修复石油污染盐碱土壤"
"Chinese Journal of Environmental Engineering,环境工程学报",,"Mechanochemical recycling of spent lithium-ion battery and reaction mechanisms clarification,废旧锂,的机械化学处理方法与机制"
"Modern Chemical Industry,现代化工",,"Preparations and applications of metal oxide /3D graphene foam,金属氧化物/三维泡沫石墨烯的制备方法和应用现状研究"
"Chinese Journal of Environmental Engineering,环境工程学报",,"Effect of activated carbon-graphene oxide cathode on performance of microbial fuel cell,AC-GO空气阴极对微生物燃料,产电性能的影响"
"Nuclear Techniques,核技术",,"Effect of soaking on etching of polyimide heavy-ion microfiltration membranes,预处理浸泡对聚酰亚胺重离子微孔膜蚀刻的影响"
"Modern Chemical Industry,现代化工",,"Performance characteristics of membrane electrode assembly for proton exchange membrane fuel cells,质子交换膜燃料,膜电极性能特性研究"
SCIENCE CHINA-MATERIALS,"10.1007/s40843-016-5119-1,OCT 2016",Molecular engineering of dithiafulvene organic sensitizers with pyridine acceptor for high efficiency dye-sensitized solar cells
"Journal of the Chinese Ceramic Society,硅酸盐学报",,"Preparation of SnO_2/RGO Photoanode and its Effect on Property of Dye-sensitized Solar Cells,SnO_2/RGO复合光阳极的制备及其对染料敏化太阳能,性能的影响"
"CIESC Journal,化工学报",,"Effects of Cr-doping on structure and electrochemical performance of lithiumand manganese-rich cathode materials Li_(1.2)Ni_(0.2)Mn_(0.6)O_2,Cr掺杂对富锂锰基正极材料Li_(1.2)Ni_(0.2)Mn_(0.6)O_2结构和电化学性能的影响"
