Material,Band_Gap,Final_Magnetic_Moment,Density,Decomposes_To,Magnetic_Ordering,Formation_Energy_Atom,Energy_Above_Hull_Atom,ID
Hf2S,0.000 eV,"
          0.000 μ",11.04 g/cm,"
          
          Stable
          
        ","
          Unknown
        ",-1.253 eV,0.000 eV,mp-10000
Material,Band_Gap,Final_Magnetic_Moment,Density,Decomposes_To,Magnetic_Ordering,Formation_Energy_Atom,Energy_Above_Hull_Atom,ID
Hf2S,0.000 eV,"
          0.000 μ",11.04 g/cm,"
          
          Stable
          
        ","
          Unknown
        ",-1.253 eV,0.000 eV,mp-10000
